iter	Passed	Remaining
787	1893	509
788	1895	506
789	1897	504
790	1899	501
791	1900	499
792	1902	496
793	1903	493
794	1905	491
795	1908	488
796	1910	486
797	1911	483
798	1913	481
799	1914	478
800	1916	476
801	1917	473
802	1919	470
803	1920	468
804	1924	466
805	1925	463
806	1927	461
807	1929	458
808	1931	455
809	1933	453
810	1934	450
811	1937	448
812	1939	446
813	1941	443
814	1942	440
815	1944	438
816	1945	435
817	1947	433
818	1948	430
819	1952	428
820	1955	426
821	1957	423
822	1959	421
823	1962	419
824	1964	416
825	1965	414
826	1968	411
827	1970	409
828	1972	406
829	1973	404
830	1975	401
831	1976	399
832	1978	396
833	1979	394
834	1983	392
835	1985	389
836	1987	387
837	1989	384
838	1991	382
839	1992	379
840	1994	377
841	1997	374
842	1999	372
843	2001	369
844	2002	367
845	2004	364
846	2006	362
847	2007	359
848	2009	357
849	2013	355
850	2015	352
851	2016	350
852	2018	347
853	2019	345
854	2021	342
855	2023	340
856	2024	337
857	2027	335
858	2028	333
859	2030	330
860	2032	328
861	2033	325
862	2035	323
863	2037	320
864	2039	318
865	2042	316
866	2043	313
867	2045	311
868	2046	308
869	2048	306
870	2050	303
871	2051	301
872	2053	298
873	2056	296
874	2058	294
875	2059	291
876	2061	289
877	2063	286
878	2064	284
879	2066	281
880	2067	279
881	2070	277
882	2072	274
883	2073	272
884	2075	269
885	2077	267
886	2078	264
887	2080	262
888	2082	260
889	2087	257
890	2089	255
891	2090	253
892	2092	250
893	2094	248
894	2095	245
895	2097	243
896	2099	241
897	2102	238
898	2103	236
899	2105	233
900	2107	231
901	2108	229
902	2110	226
903	2111	224
904	2114	221
905	2116	219
906	2117	217
907	2119	214
908	2120	212
909	2122	209
910	2123	207
911	2125	205
912	2127	202
913	2130	200
914	2132	198
915	2133	195
916	2135	193
917	2136	190
918	2138	188
919	2140	186
920	2142	183
921	2146	181
922	2148	179
923	2150	176
924	2152	174
925	2153	172
926	2155	169
927	2157	167
928	2160	165
929	2161	162
930	2163	160
931	2164	157
932	2166	155
933	2167	153
934	2169	150
935	2170	148
936	2173	146
937	2176	143
938	2177	141
939	2179	139
940	2181	136
941	2182	134
942	2184	132
943	2185	129
944	2187	127
945	2190	125
946	2192	122
947	2194	120
948	2195	117
949	2197	115
950	2199	113
951	2200	110
952	2202	108
953	2205	106
954	2206	103
955	2208	101
956	2210	99
957	2211	96
958	2213	94
959	2215	92
960	2216	89
961	2219	87
962	2221	85
963	2222	83
964	2224	80
965	2226	78
966	2228	76
967	2229	73
968	2231	71
969	2234	69
970	2235	66
971	2237	64
972	2239	62
973	2241	59
974	2244	57
975	2247	55
976	2249	52
977	2251	50
978	2253	48
979	2255	46
980	2256	43
981	2258	41
982	2260	39
983	2263	36
984	2264	34
985	2266	32
986	2268	29
987	2269	27
988	2271	25
989	2273	22
990	2274	20
991	2279	18
992	2280	16
993	2282	13
994	2284	11
995	2286	9
996	2288	6
997	2289	4
998	2292	2
999	2294	0
